VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 21:52:35,21.1325876,52.2142875
1001,219,3,2024-02-19 21:52:36,21.1662535,52.1845908
1002,213,3,2024-02-19 21:52:35,21.1882171,52.1513658
1003,219,2,2024-02-19 21:52:36,21.1023043,52.2228703
1004,213,3,2024-02-19 21:52:37,21.117194,52.234593
1005,213,4,2024-02-19 21:52:38,21.2192535,52.1823176
1006,119,3,2024-02-19 21:34:13,21.114909,52.234656
1007,213,1,2024-02-19 21:52:24,21.094349,52.227393
10071,L-8,1,2024-02-19 21:52:37,21.0528735,52.39585
10072,L31,1,2024-02-19 20:57:30,21.2322488,52.4986046
10073,L49,1,2024-02-19 21:52:40,20.9190745,52.3980076
10074,L24,696,2024-02-19 21:52:40,21.0220643,52.0749025
10075,L-8,02,2024-02-19 19:48:20,21.1389361,52.3829733
1008,311,502,2024-02-19 21:52:39,21.116334,52.235181
1009,213,2,2024-02-19 21:52:40,21.1606998,52.2103883
1010,225,501,2024-02-19 18:35:53,21.115666,52.234569
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 21:44:28,21.115146,52.23463
1013,196,03,2024-02-19 19:37:47,21.115614,52.234621
1014,225,503,2024-02-19 17:55:24,21.1158,52.234586
1020,339,02,2024-02-19 19:30:28,20.995867,52.187286
1021,192,1,2024-02-19 20:26:19,20.9953491,52.1882435
1022,107,3,2024-02-19 21:52:34,21.016388,52.230474
1023,239,777,2024-02-19 20:14:56,20.9952572,52.1882969
1024,192,5,2024-02-19 20:19:17,20.9959082,52.188427
1025,107,9,2024-02-19 21:23:54,20.9979857,52.1861371
1026,239,776,2024-02-19 19:56:19,20.99581,52.188465
1027,339,02,2024-02-19 21:26:30,20.9979537,52.186366
1028,339,03,2024-02-19 19:36:26,20.995516,52.187969
1029,208,05,2024-02-19 19:57:05,20.996052,52.187378
1030,107,7,2024-02-19 21:52:33,21.042746,52.206886
1031,208,06,2024-02-19 20:27:04,20.995659,52.187969
1032,163,03,2024-02-19 19:05:06,20.995575,52.188076
1033,163,02,2024-02-19 20:21:36,20.9960154,52.1884869
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 21:25:14,21.023908,52.179776
1036,263,06,2024-02-19 20:19:42,20.995294,52.187803
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 19:22:29,20.9956769,52.1885176
1039,200,1,2024-02-19 19:11:20,20.99515,52.188183
1040,204,04,2024-02-19 19:15:05,21.045155,52.264531
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 18:21:02,21.046123,52.264646
1043,204,05,2024-02-19 20:58:48,21.044489,52.264903
1044,107,2,2024-02-19 21:52:34,20.979019,52.244365
1045,107,4,2024-02-19 20:58:19,21.044274,52.265016
1046,107,8,2024-02-19 21:52:31,21.018845,52.2259067
1048,204,04,2024-02-19 15:44:09,21.04836,52.2641255
1049,204,06,2024-02-19 18:59:09,21.044583,52.264901
1050,208,591,2024-02-19 18:51:32,20.919551,52.19651
1051,228,1,2024-02-19 21:52:25,20.893181,52.200391
1052,228,2,2024-02-19 21:52:31,20.9609317,52.1976983
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 21:52:33,20.921524,52.212041
1055,207,1,2024-02-19 21:52:32,20.87058,52.184323
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 16:56:44,20.921473,52.196635
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 21:52:27,20.9572266,52.2019683
1060,192,3,2024-02-19 20:14:06,20.995636,52.187965
1061,192,2,2024-02-19 19:57:30,20.995581,52.188011
1062,263,4,2024-02-19 21:52:40,21.0984367,52.1830485
1063,107,1,2024-02-19 21:52:41,20.979362,52.24453
1064,192,06,2024-02-19 19:07:39,20.9956682,52.188489
1065,108,5,2024-02-19 21:52:40,21.0228746,52.2289006
1066,108,3,2024-02-19 21:52:40,21.052849,52.179962
1067,209,776,2024-02-19 20:18:48,20.9955796,52.1881729
1068,163,02,2024-02-19 21:15:55,20.9966396,52.1877314
1069,107,6,2024-02-19 21:52:41,21.0680124,52.1919317
1070,108,2,2024-02-19 21:52:39,21.024187,52.179733
1071,108,1,2024-02-19 21:52:38,20.9952812,52.1883236
1072,108,4,2024-02-19 21:52:37,20.997978,52.186104
1073,339,01,2024-02-19 20:19:51,20.9958614,52.1885174
1074,200,2,2024-02-19 20:25:39,20.996025,52.188473
1075,163,01,2024-02-19 19:27:05,20.9955449,52.1882256
1076,164,05,2024-02-19 20:44:21,20.9960496,52.188497
1077,164,04,2024-02-19 20:04:01,20.995796,52.188469
1078,192,4,2024-02-19 20:42:23,20.9979547,52.1862777
1079,208,04,2024-02-19 21:52:38,20.9958779,52.1883177
1101,170,3,2024-02-19 21:52:36,21.021861,52.2624668
1102,118,1,2024-02-19 21:52:33,21.0156653,52.2189651
1106,170,2,2024-02-19 20:21:59,21.044686,52.2647471
1109,303,1,2024-02-19 18:38:10,21.045245,52.264673
1110,123,3,2024-02-19 16:38:04,21.0483463,52.2642493
1112,338,03,2024-02-19 18:26:55,21.0445595,52.2648338
1115,170,05,2024-02-19 21:52:36,21.0517265,52.258436
1117,126,3,2024-02-19 21:52:26,21.054306,52.295713
1118,338,04,2024-02-19 18:46:11,21.0453616,52.26444
1119,169,5,2024-02-19 21:52:25,21.034304,52.257903
11201,L27,1,2024-02-19 21:51:36,21.1803653,52.4220065
11202,L27,2,2024-02-19 19:43:34,21.1806196,52.4218286
1200,319,01,2024-02-19 19:29:20,20.995554,52.188099
1201,263,5,2024-02-19 21:52:40,21.0337675,52.1485891
1202,119,06,2024-02-19 20:57:28,20.997959,52.186108
1203,166,661,2024-02-19 21:52:41,21.0681437,52.1294302
1204,106,6,2024-02-19 21:52:40,21.0192634,52.2464026
1205,118,4,2024-02-19 21:29:33,20.9953289,52.1883132
1206,218,5,2024-02-19 21:52:38,21.010313,52.189144
1207,218,2,2024-02-19 21:52:41,21.02422,52.179832
1208,263,1,2024-02-19 21:52:40,21.071959,52.155094
1209,218,3,2024-02-19 21:52:40,20.9904459,52.1855911
1211,263,3,2024-02-19 21:52:40,21.0897789,52.1816029
1212,106,7,2024-02-19 20:52:08,20.997562,52.185761
1213,106,4,2024-02-19 21:52:39,20.968346,52.228863
1214,106,5,2024-02-19 18:17:09,20.9972977,52.1878244
1216,139,62,2024-02-19 21:52:40,21.0230439,52.18161
1217,251,65,2024-02-19 21:52:41,21.123146,52.089481
1218,166,6,2024-02-19 17:09:58,20.997972,52.186153
1219,106,1,2024-02-19 21:52:41,21.0061482,52.2381122
1220,106,2,2024-02-19 21:52:39,20.968382,52.243664
1221,251,64,2024-02-19 21:52:41,21.092093,52.150818
1222,263,2,2024-02-19 21:52:41,21.0490607,52.1783979
1223,218,1,2024-02-19 21:52:38,20.997437,52.187923
1224,739,014,2024-02-19 20:44:45,20.995253,52.188266
1400,123,3,2024-02-19 20:59:52,21.0422868,52.2660393
1401,178,012,2024-02-19 21:05:23,21.0477631,52.2640571
1411,319,02,2024-02-19 14:55:38,21.115343,52.23474
1412,115,6,2024-02-19 21:52:36,21.170563,52.271278
1413,183,6,2024-02-19 21:52:40,21.108152,52.241211
1414,183,4,2024-02-19 21:52:38,21.1916437,52.238944
1415,147,2,2024-02-19 21:52:39,21.0521872,52.2485104
1416,173,5,2024-02-19 21:52:40,21.24094,52.216267
1417,507,214,2024-02-19 21:52:39,21.0053027,52.2295427
1418,730,52,2024-02-19 21:52:40,21.1156227,52.2334197
1419,119,2,2024-02-19 21:52:21,21.205576,52.210151
1420,147,1,2024-02-19 21:52:41,21.0522637,52.2501814
1421,142,06,2024-02-19 19:17:53,21.117006,52.233055
1422,702,215,2024-02-19 15:39:47,21.115339,52.234817
1424,117,4,2024-02-19 21:52:39,21.1025066,52.2221324
1425,720,62,2024-02-19 21:33:24,21.1157311,52.2344662
1426,183,07,2024-02-19 21:52:39,21.128357,52.234718
1427,146,2,2024-02-19 21:52:25,21.204505,52.159529
1428,153,2,2024-02-19 21:52:36,21.17,52.276913
1429,119,1,2024-02-19 21:52:39,21.080807,52.205479
1430,123,297,2024-02-19 21:52:25,21.0511755,52.2526137
1500,166,09,2024-02-19 20:54:09,21.045324,52.2649026
1501,240,2,2024-02-19 21:52:34,21.1081496,52.3268466
1502,106,08,2024-02-19 19:08:11,21.0463228,52.2646118
1505,126,1,2024-02-19 21:52:38,21.0473975,52.263742
1506,170,06,2024-02-19 21:37:48,21.0452486,52.264893
1508,126,4,2024-02-19 21:52:33,20.9906468,52.3102166
1509,221,1,2024-02-19 21:52:39,20.9786711,52.261746
1513,118,05,2024-02-19 19:26:13,21.045048,52.264646
1519,156,4,2024-02-19 21:25:25,21.0466396,52.2640675
1520,115,4,2024-02-19 21:52:34,21.1696267,52.264765
1521,319,04,2024-02-19 16:36:43,21.117223,52.232973
1522,142,08,2024-02-19 18:37:44,21.11711,52.233058
1523,115,2,2024-02-19 21:52:30,21.242358,52.16987
1524,153,04,2024-02-19 14:41:01,21.116075,52.234285
1525,153,1,2024-02-19 21:52:27,21.1618183,52.2592433
1526,183,1,2024-02-19 19:36:11,21.116756,52.233103
1527,119,4,2024-02-19 21:52:30,21.037796,52.206918
1528,147,5,2024-02-19 21:52:29,21.0943433,52.2187283
1529,702,2,2024-02-19 21:52:36,21.117421,52.233261
1530,173,4,2024-02-19 21:52:28,21.222131,52.246283
1532,319,03,2024-02-19 19:56:21,20.997663,52.186413
1533,319,07,2024-02-19 21:52:33,20.996611,52.188105
1534,139,61,2024-02-19 21:52:36,21.103535,52.105838
1535,218,4,2024-02-19 21:06:12,20.995273,52.188266
1536,169,1,2024-02-19 21:52:25,21.042903,52.273286
1537,118,2,2024-02-19 21:52:27,21.025195,52.229643
1538,123,4,2024-02-19 21:52:31,21.047118,52.263666
1539,123,09,2024-02-19 21:52:30,21.0225967,52.2862183
1540,303,3,2024-02-19 18:05:29,21.045681,52.264333
1541,123,07,2024-02-19 15:07:11,21.046739,52.265031
1542,181,2,2024-02-19 21:52:37,21.045785,52.264345
1543,126,2,2024-02-19 21:52:32,20.9640117,52.3180767
1544,123,6,2024-02-19 21:45:36,21.043461,52.266078
1545,123,1,2024-02-19 19:23:35,21.099216,52.226481
1546,197,3,2024-02-19 21:52:33,20.9705333,52.2853
1548,123,08,2024-02-19 12:13:26,21.044086,52.264969
1549,122,8,2024-02-19 21:52:37,20.979043,52.285049
1550,178,012,2024-02-19 21:38:14,21.048338,52.264425
1551,122,3,2024-02-19 21:52:37,20.9110617,52.2472
1552,170,4,2024-02-19 21:08:46,21.044176,52.265064
1553,166,343,2024-02-19 13:30:58,21.048179,52.264188
1554,169,3,2024-02-19 21:08:20,21.045235,52.264853
1555,107,5,2024-02-19 21:52:20,21.056681,52.193026
1800,106,09,2024-02-19 19:57:00,21.0442048,52.2649851
1801,221,02,2024-02-19 19:35:40,21.0444076,52.2649945
1802,170,1,2024-02-19 21:52:35,21.0939003,52.2708976
1803,197,010,2024-02-19 21:52:31,20.9757638,52.2896001
1804,166,5,2024-02-19 19:35:33,21.0443113,52.2649036
1805,204,07,2024-02-19 21:03:44,21.0436893,52.265199
1806,117,06,2024-02-19 13:02:50,21.0464266,52.2640891
1807,156,1,2024-02-19 21:52:38,21.0494623,52.2524813
1808,173,6,2024-02-19 21:52:38,21.2178675,52.2158683
1809,303,2,2024-02-19 17:41:15,21.0456786,52.2644711
1810,166,4,2024-02-19 21:52:34,21.045783,52.2648778
1811,166,7,2024-02-19 21:52:37,21.044673,52.1771063
1812,181,4,2024-02-19 21:52:28,21.0470055,52.2638291
1813,118,3,2024-02-19 21:52:32,21.0198098,52.2459065
1814,338,01,2024-02-19 19:07:34,21.0448321,52.2646643
1815,117,06,2024-02-19 20:51:24,21.0455115,52.2654786
1816,123,2,2024-02-19 21:52:28,21.0996143,52.2382641
1817,181,3,2024-02-19 15:53:12,21.0482165,52.2640018
1818,240,1,2024-02-19 21:52:36,21.0653303,52.3123311
1819,166,8,2024-02-19 21:52:41,21.0683381,52.1292173
1830,117,2,2024-02-19 21:51:23,21.1163965,52.2331743
1833,212,06,2024-02-19 20:13:35,21.0464096,52.2645971
1835,117,3,2024-02-19 20:32:22,21.116551,52.233145
1838,146,3,2024-02-19 21:05:30,21.1157958,52.2333311
1839,338,05,2024-02-19 18:50:07,21.0447676,52.264728
1840,173,012,2024-02-19 20:15:57,21.11668,52.2330673
1842,173,3,2024-02-19 21:52:38,21.1346508,52.2413398
1843,173,5,2024-02-19 06:45:42,21.1144846,52.2344258
1844,122,6,2024-02-19 21:52:34,20.9860381,52.2797725
1845,183,5,2024-02-19 21:52:38,21.0872273,52.244861
1846,736,2,2024-02-19 21:05:43,21.0464788,52.2647486
1848,147,3,2024-02-19 21:52:35,21.1424345,52.1986145
1849,119,5,2024-02-19 21:52:35,21.0003076,52.2061066
1851,173,9,2024-02-19 21:52:38,21.0935246,52.2441023
1855,115,5,2024-02-19 20:17:10,21.117346,52.2335776
1856,181,1,2024-02-19 21:52:33,20.9463355,52.2937216
1857,730,01,2024-02-19 21:52:36,21.3011185,52.1823365
1858,173,7,2024-02-19 21:52:35,21.2608433,52.2481888
1859,722,01,2024-02-19 20:29:18,21.1154745,52.2333453
1862,183,3,2024-02-19 21:32:46,21.116398,52.233157
1863,722,61,2024-02-19 19:14:35,21.1159535,52.2333918
1869,720,61,2024-02-19 21:52:26,21.153418,52.226098
1901,222,6,2024-02-19 21:52:38,21.007573,52.189868
1903,E-1,04,2024-02-15 10:23:09,20.997366,52.185998
1904,222,5,2024-02-19 13:20:39,20.995738,52.186088
1905,900,1,2024-02-15 09:50:34,20.995118,52.185748
1906,222,3,2024-02-19 21:52:33,21.022346,52.215155
1907,106,3,2024-02-19 21:52:40,20.9651491,52.2478445
1908,251,066,2024-02-19 11:53:01,20.995098,52.186041
1909,222,2,2024-02-19 21:52:40,20.9957645,52.1929072
1910,222,4,2024-02-19 21:52:40,21.0037401,52.2425705
1911,222,5,2024-02-19 21:52:20,20.995341,52.186534
1912,166,010,2024-02-19 19:48:13,20.995251,52.186796
1914,251,63,2024-02-19 21:52:41,21.0271434,52.1784764
1915,139,066,2024-02-19 21:19:26,20.995221,52.186901
1916,739,07,2024-02-19 20:40:10,20.995221,52.186708
1917,106,5,2024-02-19 21:52:39,21.0234,52.2368
1918,739,013,2024-02-19 19:50:46,20.995329,52.186799
1919,222,1,2024-02-19 21:38:57,20.995167,52.186695
1920,222,4,2024-02-19 16:09:22,20.9952249,52.1860662
1990,119,07,2024-02-19 19:35:08,20.9953635,52.1864704
1991,331,05,2024-02-19 20:19:49,20.995399,52.186291
1992,331,02,2024-02-19 19:25:20,20.995456,52.186438
1993,331,01,2024-02-19 19:40:05,20.99538,52.186223
1994,739,014,2024-02-19 16:51:25,20.995285,52.18639
1996,331,03,2024-02-19 20:26:05,20.9952434,52.1863114
1997,331,04,2024-02-19 21:17:32,20.9952269,52.1863725
1998,119,07,2024-02-19 13:58:08,20.9954082,52.1862825
2000,148,7,2024-02-19 21:51:50,20.9972719,52.1871602
2001,189,8,2024-02-19 21:52:40,20.995884,52.187988
2002,504,013,2024-02-19 20:22:39,20.997322,52.187565
2004,710,4,2024-02-19 21:52:39,21.097736,52.12254
2005,217,07,2024-02-19 19:08:27,20.9964877,52.1869232
2006,319,03,2024-02-08 11:45:23,20.9967542,52.1857972
2007,217,3,2024-02-19 21:52:40,20.995796,52.187553
2008,504,2,2024-02-19 12:13:04,20.9970315,52.1864016
2009,739,09,2024-02-19 13:24:54,20.9970527,52.1863477
2010,162,013,2024-02-19 19:36:30,20.995056,52.187557
2012,739,012,2024-02-19 12:32:59,20.9979577,52.1859899
2013,522,013,2024-02-19 18:57:32,20.9974487,52.1873824
2014,522,3,2024-02-19 21:52:35,21.028265,52.207734
2016,519,4,2024-02-19 21:52:41,21.0928414,52.1168161
2017,401,022,2024-02-19 19:41:03,20.997903,52.187615
20174,L50,2,2024-02-19 17:57:04,21.4027918,52.2015346
2018,709,7,2024-02-19 21:52:41,21.0175581,52.0671215
2019,166,012,2024-02-19 21:32:17,20.9980517,52.1874302
2020,308,01,2024-02-19 19:21:52,20.9951464,52.1876366
2021,501,1,2024-02-19 21:52:39,21.052265,52.179604
2022,189,9,2024-02-19 21:52:38,21.05393,52.180607
2023,189,5,2024-02-19 21:52:40,20.977869,52.184116
2024,709,012,2024-02-19 19:14:43,20.9963944,52.1876015
2025,504,6,2024-02-19 21:52:41,21.0039651,52.2301999
2026,709,2,2024-02-19 21:52:39,21.018114,52.131596
