VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 13:59:21,21.102201,52.22296
1001,219,3,2024-02-19 13:59:22,21.166104,52.2038836
1002,225,04,2024-02-19 13:59:19,21.151254,52.2696158
1003,219,2,2024-02-19 13:59:28,21.1428713,52.1867105
1004,213,3,2024-02-19 13:59:13,21.219214,52.157193
1005,213,4,2024-02-19 13:59:19,21.103548,52.2129838
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 13:59:23,21.1440638,52.2141216
10071,L-8,1,2024-02-19 13:59:22,21.0402675,52.3973171
10072,L31,1,2024-02-19 13:59:20,21.1224675,52.4445243
10073,L49,1,2024-02-19 13:59:24,20.89477,52.3981058
10074,L24,696,2024-02-19 13:59:21,21.097372,52.0678778
10075,L-8,02,2024-02-19 13:59:22,20.9900028,52.402991
1008,225,502,2024-02-19 13:59:27,21.1022901,52.222864
1009,213,2,2024-02-19 13:59:24,21.2115461,52.160947
1010,225,501,2024-02-19 13:59:22,21.1554123,52.2593033
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 13:59:20,21.1024035,52.222843
1013,196,03,2024-02-19 13:59:27,21.129395,52.2360166
1014,311,503,2024-02-19 13:59:19,21.0941965,52.2284938
1020,339,02,2024-02-19 13:59:25,20.997753,52.187618
1021,192,1,2024-02-19 13:59:24,21.024221,52.179905
1022,107,3,2024-02-19 13:59:22,21.000772,52.244541
1023,239,777,2024-02-19 13:59:24,20.995705,52.18819
1024,192,5,2024-02-19 13:59:21,21.045731,52.150032
1025,107,9,2024-02-19 13:59:25,21.0851599,52.19329
1026,263,06,2024-02-19 11:15:04,20.998007,52.186184
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,208,04,2024-02-19 13:07:16,20.997984,52.186363
1029,208,05,2024-02-19 13:59:22,20.964085,52.207981
1030,107,7,2024-02-19 13:59:24,21.047085,52.206947
1031,208,06,2024-02-19 13:59:23,20.949503,52.202793
