VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 15:04:10,21.157879,52.192211
1001,219,3,2024-02-19 15:04:26,21.1022268,52.222811
1002,225,04,2024-02-19 15:04:28,21.0932951,52.2262503
1003,219,2,2024-02-19 15:04:27,21.1593145,52.1935426
1004,213,3,2024-02-19 15:04:27,21.111129,52.212951
1005,213,4,2024-02-19 15:04:22,21.2111696,52.161003
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 15:04:29,21.117218,52.2143988
10071,L-8,1,2024-02-19 15:04:26,20.9488351,52.4034845
10072,L31,1,2024-02-19 15:04:31,21.1546713,52.4309626
10073,L49,1,2024-02-19 15:04:27,20.8919848,52.4016788
10074,L24,696,2024-02-19 15:04:29,21.0799606,52.0780325
10075,L-8,02,2024-02-19 15:04:27,21.0585265,52.4011383
1008,225,502,2024-02-19 15:04:27,21.1530136,52.260818
1009,213,2,2024-02-19 15:04:31,21.1024776,52.2227821
1010,225,501,2024-02-19 15:04:27,21.1026331,52.2226951
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 15:04:28,21.2145133,52.1615816
1013,196,03,2024-02-19 15:04:26,21.177393,52.256839
1014,225,503,2024-02-19 15:04:25,21.161241,52.2588
1020,339,02,2024-02-19 15:04:28,21.044973,52.175156
1021,192,1,2024-02-19 15:04:29,21.069391,52.138996
1022,107,3,2024-02-19 15:04:29,21.046236,52.199417
1023,239,777,2024-02-19 15:04:31,21.0334236,52.1554987
1024,192,5,2024-02-19 15:04:26,21.04624,52.152004
1025,107,9,2024-02-19 15:04:29,20.980736,52.243137
1026,809,776,2024-02-19 15:04:30,21.0377959,52.1540237
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 15:04:27,21.068201,52.129478
1029,208,05,2024-02-19 15:04:30,20.950529,52.210682
1030,107,7,2024-02-19 15:04:29,21.011406,52.230133
1031,208,06,2024-02-19 15:04:30,20.9637777,52.2079725
1032,163,03,2024-02-19 15:04:29,21.089855,52.181713
1033,163,02,2024-02-19 15:04:27,21.049009,52.178314
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 09:19:00,21.02605,52.178631
1036,263,06,2024-02-19 15:04:29,21.033827,52.148548
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 15:04:31,20.9765534,52.2051842
1039,200,1,2024-02-19 15:04:30,21.005064,52.220455
1040,204,04,2024-02-19 15:04:27,21.0592867,52.32469
