VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 11:03:34,21.102411,52.222696
1001,219,3,2024-02-19 11:03:45,21.1430238,52.1903161
1002,213,1,2024-02-19 02:57:59,21.116943,52.234666
1003,219,2,2024-02-19 11:03:50,21.1678583,52.1950733
1004,213,3,2024-02-19 11:03:43,21.112821,52.213418
1005,213,4,2024-02-19 11:03:46,21.1020633,52.2227408
1006,119,3,2024-02-19 11:03:53,21.1138256,52.2345436
1007,213,1,2024-02-19 11:03:47,21.221074,52.162308
10071,L-8,1,2024-02-19 11:03:50,21.0913204,52.414411
10072,L31,1,2024-02-19 11:03:50,21.0307074,52.4287176
10073,L49,1,2024-02-19 11:03:47,20.9150818,52.3786588
10074,L24,696,2024-02-19 11:03:48,21.0294598,52.075087
10075,L-8,02,2024-02-19 11:03:51,20.9385416,52.3977323
1008,311,502,2024-02-19 11:03:47,21.0912805,52.231234
1009,213,2,2024-02-19 11:03:48,21.212136,52.160853
1010,311,501,2024-02-19 11:03:49,21.0733916,52.2545428
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 11:03:52,21.1113723,52.2130621
1013,196,03,2024-02-19 09:50:04,21.115078,52.234633
1014,311,503,2024-02-19 11:03:48,21.091045,52.221981
1020,339,01,2024-02-19 10:11:08,20.99515,52.188416
1021,192,1,2024-02-19 11:03:50,21.0403745,52.1468477
1022,107,3,2024-02-19 11:03:50,21.006722,52.23772
1023,208,06,2024-02-19 10:28:29,20.9951234,52.1884772
1024,192,5,2024-02-19 11:03:51,21.068462,52.129253
1025,107,9,2024-02-19 11:03:51,21.0112759,52.2298944
1026,263,06,2024-02-19 11:03:50,20.997967,52.186176
1027,339,02,2024-02-19 10:19:34,20.9969746,52.1869872
1028,208,04,2024-02-19 09:40:16,20.996412,52.186035
1029,163,01,2024-02-19 09:24:16,20.996223,52.186935
1030,107,7,2024-02-19 11:03:50,21.049006,52.19529
1031,208,05,2024-02-19 11:03:48,20.9973004,52.1857332
1032,164,05,2024-02-19 09:54:35,20.995199,52.188313
1033,163,03,2024-02-19 10:57:51,20.996199,52.186474
1034,192,2,2024-02-19 11:03:49,20.9954464,52.1866372
1035,108,399,2024-02-19 09:19:00,21.02605,52.178631
1036,192,06,2024-02-19 09:47:59,20.9951784,52.1882579
1037,208,03,2024-02-19 11:03:46,20.995506,52.18808
1038,164,04,2024-02-19 10:07:53,20.9979079,52.1864055
1039,200,1,2024-02-19 11:03:48,21.120161,52.085098
1040,204,04,2024-02-19 09:51:28,21.045258,52.264473
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,05,2024-02-19 09:26:59,21.045004,52.264573
1043,204,03,2024-02-19 08:59:30,21.04548,52.264454
1044,107,2,2024-02-19 11:03:46,20.979255,52.2445067
1045,107,4,2024-02-19 11:03:39,21.047139,52.212404
1046,107,8,2024-02-19 11:03:47,21.045875,52.2162233
1048,204,04,2024-02-19 08:29:52,21.047814,52.264215
1049,212,1,2024-02-19 08:52:19,21.046661,52.264023
1050,208,591,2024-02-19 11:03:33,20.975718,52.211226
1051,228,1,2024-02-19 11:03:46,20.957025,52.198545
1052,228,2,2024-02-19 11:03:34,20.95128,52.19986
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 11:03:39,20.892994,52.200355
1055,207,1,2024-02-19 11:03:33,20.887094,52.195091
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 10:59:50,20.9222283,52.1962317
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 11:03:50,20.966695,52.2020383
1060,192,3,2024-02-19 11:03:50,21.0418704,52.1555661
1061,192,2,2024-02-19 11:03:50,21.0212184,52.1793392
1062,263,4,2024-02-19 11:03:50,21.0580041,52.1484142
1063,107,1,2024-02-19 11:03:50,20.9793614,52.2445512
1064,339,03,2024-02-19 11:03:25,20.995723,52.18681
1065,108,5,2024-02-19 11:03:51,21.05378,52.180359
1066,108,3,2024-02-19 11:03:49,21.023434,52.228176
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:03:51,20.9966789,52.1877377
1069,107,6,2024-02-19 11:03:49,21.085146,52.193314
1070,108,2,2024-02-19 11:03:50,21.037474,52.217587
1071,108,1,2024-02-19 11:03:51,21.072889,52.179901
1072,108,4,2024-02-19 11:03:51,21.075352,52.210705
1073,239,777,2024-02-19 10:08:49,20.9973991,52.1875382
1074,200,2,2024-02-19 11:03:48,21.006336,52.213528
1075,108,5,2024-02-19 05:21:38,20.9952115,52.1883152
1076,218,2,2024-02-19 10:26:52,20.99799,52.186405
1077,192,M3,2024-02-19 05:44:53,20.995195,52.18824
1078,192,4,2024-02-19 11:03:51,21.074772,52.134087
1079,108,3,2024-02-19 08:56:07,20.9970122,52.1878694
1101,170,3,2024-02-19 11:03:44,21.0804738,52.2772886
1102,118,1,2024-02-19 11:03:47,21.0346908,52.2342023
1106,170,2,2024-02-19 11:03:43,21.0337311,52.2586526
1109,303,1,2024-02-19 11:03:49,20.9391403,52.2781945
1110,123,3,2024-02-19 11:03:44,21.0619961,52.232616
1112,117,06,2024-02-19 11:03:47,21.0345755,52.2545788
1115,338,02,2024-02-19 09:45:06,21.044893,52.264654
1117,126,3,2024-02-19 11:03:50,20.9785675,52.3115575
1118,197,010,2024-02-19 11:02:08,21.0445613,52.2647375
1119,169,5,2024-02-19 11:03:48,21.040058,52.269588
11201,L27,1,2024-02-19 11:03:29,21.1574413,52.3111888
11202,L27,2,2024-02-19 11:03:24,21.2190691,52.3404125
1200,166,6,2024-02-19 08:32:40,20.9970032,52.1878902
1201,263,5,2024-02-19 11:03:51,21.109013,52.164673
1202,739,07,2024-02-19 11:03:51,20.995813,52.186459
1203,166,661,2024-02-19 11:03:50,21.0600165,52.1491079
1204,106,6,2024-02-19 11:03:51,20.9654919,52.2380919
1205,118,4,2024-02-19 11:03:49,21.0152677,52.2169714
1206,218,5,2024-02-19 11:03:51,21.0246924,52.1908197
1207,218,2,2024-02-19 11:03:51,21.0242202,52.179803
