VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 17:57:05,21.170805,52.184201
1001,219,3,2024-02-19 17:57:09,21.1023571,52.2226855
1002,225,04,2024-02-19 17:57:13,21.1183345,52.2346461
1003,219,2,2024-02-19 17:57:13,21.1525741,52.2139745
1004,213,3,2024-02-19 17:56:56,21.102293,52.222773
1005,213,4,2024-02-19 17:57:14,21.1707083,52.1929506
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 17:57:13,21.2280478,52.1819078
10071,L-8,1,2024-02-19 17:57:16,21.0578326,52.4086205
10072,L31,1,2024-02-19 17:57:12,21.1586203,52.4284715
10073,L49,1,2024-02-19 17:57:13,20.8852261,52.4097958
10074,L24,696,2024-02-19 17:57:13,21.0915651,52.0672175
10075,L-8,02,2024-02-19 17:57:13,21.0061625,52.3933011
1008,311,502,2024-02-19 17:57:20,21.0915471,52.221912
1009,213,2,2024-02-19 17:57:11,21.0908705,52.221715
1010,225,501,2024-02-19 17:57:14,21.126909,52.258349
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 17:57:14,21.1843933,52.15601
1013,196,03,2024-02-19 17:57:13,21.1723433,52.2617566
1014,225,503,2024-02-19 17:55:24,21.1158,52.234586
1020,339,02,2024-02-19 17:57:13,21.093313,52.131111
1021,192,1,2024-02-19 17:57:15,21.058006,52.140003
1022,107,3,2024-02-19 17:57:06,20.991768,52.244854
1023,809,777,2024-02-19 17:57:14,21.0177691,52.1361209
1024,192,5,2024-02-19 17:57:15,21.068743,52.128895
1025,107,9,2024-02-19 17:57:15,21.0201365,52.2236959
1026,815,776,2024-02-19 17:57:13,20.944242,52.119003
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 17:57:14,21.023998,52.179577
1029,208,05,2024-02-19 17:57:15,20.947891,52.208836
1030,107,7,2024-02-19 17:57:14,21.082895,52.190468
1031,208,06,2024-02-19 17:57:14,20.975576,52.210236
1032,163,03,2024-02-19 17:57:14,21.107355,52.16843
1033,163,02,2024-02-19 17:57:12,21.053688,52.180336
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 17:27:19,21.024509,52.177578
1036,263,06,2024-02-19 17:57:13,21.051996,52.150166
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 17:57:13,20.9671909,52.2143234
1039,200,1,2024-02-19 17:57:15,21.021362,52.18021
1040,204,04,2024-02-19 17:57:00,21.029961,52.311256
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 17:57:01,21.052096,52.292684
1043,204,05,2024-02-19 17:57:12,21.0684567,52.3229783
1044,107,2,2024-02-19 17:57:08,20.9915917,52.244865
1045,107,4,2024-02-19 17:57:08,21.046165,52.2161817
1046,107,8,2024-02-19 17:57:13,21.0394183,52.2023283
1048,204,04,2024-02-19 15:44:09,21.04836,52.2641255
1049,204,06,2024-02-19 17:57:05,21.031728,52.293336
1050,208,591,2024-02-19 17:57:09,20.968966,52.202269
1051,228,1,2024-02-19 17:57:12,20.894616,52.200061
1052,228,2,2024-02-19 17:57:06,20.94318,52.2035467
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 17:57:02,20.979604,52.185501
1055,207,1,2024-02-19 17:56:59,20.892068,52.193375
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 16:56:44,20.921473,52.196635
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 17:57:16,20.9645833,52.20171
1060,192,3,2024-02-19 17:57:13,21.024025,52.179924
1061,192,2,2024-02-19 17:57:16,21.0194709,52.1523537
1062,263,4,2024-02-19 17:57:11,21.076748,52.156635
1063,107,1,2024-02-19 17:57:12,21.005907,52.238602
1064,192,06,2024-02-19 17:57:15,21.044174,52.141941
1065,108,5,2024-02-19 17:57:12,21.022854,52.228916
1066,108,3,2024-02-19 17:57:15,21.053942,52.18045
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:35:09,20.99666,52.187725
1069,107,6,2024-02-19 17:57:13,21.068148,52.191971
1070,108,2,2024-02-19 17:57:15,21.022717,52.179791
1071,108,1,2024-02-19 17:57:12,21.057722,52.182892
1072,108,4,2024-02-19 17:57:14,21.076366,52.201885
1073,339,01,2024-02-19 17:57:11,21.09733,52.130764
1074,200,2,2024-02-19 17:57:13,21.082758,52.166378
1075,163,01,2024-02-19 17:57:16,21.092733,52.184364
1076,164,05,2024-02-19 17:57:13,21.109936,52.164818
1077,164,04,2024-02-19 17:57:15,21.129833,52.155197
1078,192,4,2024-02-19 17:57:15,21.062613,52.137081
1079,208,04,2024-02-19 17:57:13,20.960907,52.216602
1101,170,3,2024-02-19 17:57:12,21.0852263,52.2736645
1102,118,1,2024-02-19 17:56:58,21.015585,52.219276
1106,170,2,2024-02-19 17:57:08,21.0808008,52.2774791
1109,303,1,2024-02-19 17:57:14,20.9409635,52.285274
1110,123,3,2024-02-19 16:38:04,21.0483463,52.2642493
1112,338,03,2024-02-19 17:57:08,21.0271185,52.2599558
1115,170,05,2024-02-19 17:57:15,21.0217586,52.263064
1117,126,3,2024-02-19 17:57:01,21.0563445,52.2979803
1118,338,04,2024-02-19 17:57:11,21.0577103,52.2632358
1119,169,5,2024-02-19 17:57:11,21.039359,52.292726
11201,L27,1,2024-02-19 17:55:34,21.2107235,52.3430108
