VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 17:44:19,21.18778,52.183963
1001,219,3,2024-02-19 17:44:29,21.143211,52.214146
1002,225,04,2024-02-19 17:44:34,21.1475851,52.2696345
1003,219,2,2024-02-19 17:44:28,21.0923206,52.2216331
1004,213,3,2024-02-19 17:44:30,21.101939,52.222648
1005,213,4,2024-02-19 17:44:29,21.230992,52.1750315
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 17:44:33,21.1704971,52.1938938
10071,L-8,1,2024-02-19 17:44:34,21.0378625,52.3970826
10072,L31,1,2024-02-19 17:44:31,21.0563195,52.4411688
10073,L49,1,2024-02-19 17:44:34,20.911437,52.3802183
10074,L24,696,2024-02-19 17:44:35,21.0635258,52.05783
10075,L-8,02,2024-02-19 17:44:35,21.0420651,52.3829495
1008,311,502,2024-02-19 17:44:35,21.1023538,52.2224781
1009,213,2,2024-02-19 17:44:34,21.1019338,52.222841
1010,225,501,2024-02-19 17:44:29,21.1266336,52.2331001
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 17:44:34,21.2127516,52.161085
1013,196,03,2024-02-19 17:44:34,21.1608236,52.2573325
1014,225,503,2024-02-19 17:41:40,21.1182705,52.23433
1020,339,02,2024-02-19 17:44:26,21.085979,52.160492
1021,192,1,2024-02-19 17:44:34,21.0460295,52.1426586
1022,107,3,2024-02-19 17:44:33,21.018648,52.226498
1023,809,777,2024-02-19 17:44:34,21.0369524,52.1544232
1024,192,5,2024-02-19 17:44:35,21.0694119,52.1388486
1025,107,9,2024-02-19 17:44:34,21.0035,52.242222
1026,815,776,2024-02-19 17:44:34,20.981615,52.132202
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 17:44:31,21.034088,52.177238
1029,208,05,2024-02-19 17:44:35,20.975574,52.210194
1030,107,7,2024-02-19 17:44:34,21.045687,52.202301
1031,208,06,2024-02-19 17:44:34,20.948942,52.209511
1032,163,03,2024-02-19 17:44:33,21.083887,52.168434
1033,163,02,2024-02-19 17:44:35,21.066719,52.184273
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 17:27:19,21.024509,52.177578
1036,263,06,2024-02-19 17:44:32,21.08519,52.159193
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 17:44:27,20.9586737,52.2017122
1039,200,1,2024-02-19 17:44:31,21.068781,52.169655
1040,204,04,2024-02-19 17:44:20,21.078978,52.324153
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 17:44:20,21.079468,52.322546
1043,204,05,2024-02-19 17:44:28,21.0299733,52.3070383
1044,107,2,2024-02-19 17:44:25,21.016716,52.230408
1045,107,4,2024-02-19 17:44:22,21.0392717,52.2042233
1046,107,8,2024-02-19 17:44:33,21.0313733,52.2241983
1048,204,04,2024-02-19 15:44:09,21.04836,52.2641255
1049,204,06,2024-02-19 17:44:24,21.031421,52.293456
1050,208,591,2024-02-19 17:42:08,20.9690583,52.2021717
1051,228,1,2024-02-19 17:44:31,20.923253,52.213541
1052,228,2,2024-02-19 17:44:23,20.9706317,52.1938933
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 17:44:21,20.977899,52.192219
1055,207,1,2024-02-19 17:44:19,20.896309,52.186851
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 16:56:44,20.921473,52.196635
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 17:44:34,20.9521216,52.2117183
1060,192,3,2024-02-19 17:44:31,21.038042,52.153267
1061,192,2,2024-02-19 17:44:32,21.020739,52.174892
1062,263,4,2024-02-19 17:44:33,21.042036,52.147507
1063,107,1,2024-02-19 17:44:35,20.979401,52.244499
1064,192,06,2024-02-19 17:44:32,21.039244,52.153839
1065,108,5,2024-02-19 17:44:35,21.036987,52.218712
1066,108,3,2024-02-19 17:44:31,21.072271,52.179497
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:35:09,20.99666,52.187725
1069,107,6,2024-02-19 17:44:35,21.0851495,52.1933404
1070,108,2,2024-02-19 17:44:32,21.056208,52.181931
1071,108,1,2024-02-19 17:44:32,21.04314,52.175365
1072,108,4,2024-02-19 17:44:35,21.038176,52.216957
1073,339,01,2024-02-19 17:44:34,21.068335,52.129341
1074,200,2,2024-02-19 17:44:30,21.050346,52.173664
1075,163,01,2024-02-19 17:44:32,21.053297,52.180038
1076,164,05,2024-02-19 17:44:32,21.138187,52.14576
1077,164,04,2024-02-19 17:44:33,21.084307,52.167336
1078,192,4,2024-02-19 17:44:34,21.068892,52.128826
1079,208,04,2024-02-19 17:44:35,20.971745,52.205307
1101,170,3,2024-02-19 17:44:30,21.0387436,52.2526648
1102,118,1,2024-02-19 17:44:27,21.0157853,52.2224356
1106,170,2,2024-02-19 17:44:28,21.0808105,52.2774966
1109,303,1,2024-02-19 17:44:34,20.9611755,52.2674196
1110,123,3,2024-02-19 16:38:04,21.0483463,52.2642493
1112,338,03,2024-02-19 17:44:28,21.0528353,52.2598215
1115,170,05,2024-02-19 17:44:30,21.0348158,52.2547885
1117,126,3,2024-02-19 17:44:31,21.0233976,52.2862693
1118,338,04,2024-02-19 17:44:31,21.0891015,52.2628535
1119,169,5,2024-02-19 17:44:30,21.042856,52.273461
11201,L27,1,2024-02-19 17:43:33,21.1835261,52.359112
11202,L27,2,2024-02-19 17:43:31,21.1514741,52.3107704
1200,319,01,2024-02-19 17:44:34,21.189203,52.207134
1201,263,5,2024-02-19 17:44:31,21.059338,52.148975
1202,119,06,2024-02-19 17:44:35,21.046576,52.198471
1203,166,661,2024-02-19 17:44:35,21.04763,52.246605
1204,106,6,2024-02-19 17:44:32,20.969051,52.231274
1205,118,4,2024-02-19 17:44:35,21.0155656,52.2192137
1206,218,5,2024-02-19 17:44:34,20.989317,52.183128
1207,218,2,2024-02-19 17:44:34,20.998993,52.183369
1208,263,1,2024-02-19 17:44:34,21.0482679,52.1508376
1209,218,3,2024-02-19 17:44:34,21.023882,52.179718
1211,263,3,2024-02-19 17:44:35,21.056688,52.182232
1212,106,7,2024-02-19 17:44:31,20.972435,52.23159
1213,106,4,2024-02-19 17:44:35,20.9655724,52.2387829
1214,106,5,2024-02-19 17:44:34,20.9972742,52.1878049
1216,139,62,2024-02-19 17:44:35,21.0787995,52.16737
1217,139,65,2024-02-19 17:44:35,21.101055,52.132191
1218,166,6,2024-02-19 17:09:58,20.997972,52.186153
1219,106,1,2024-02-19 17:44:33,21.019253,52.237259
1220,106,2,2024-02-19 17:44:32,21.019316,52.246395
1221,251,64,2024-02-19 17:44:32,21.113167,52.109802
1222,263,2,2024-02-19 17:44:33,21.0568717,52.1823012
1223,218,1,2024-02-19 17:44:33,21.024115,52.189941
1224,739,014,2024-02-19 17:44:33,21.0519737,52.1016117
1400,123,3,2024-02-19 17:44:23,21.088187,52.222489
1401,178,012,2024-02-19 17:44:31,21.0476876,52.2641948
1411,319,02,2024-02-19 14:55:38,21.115343,52.23474
1412,115,6,2024-02-19 17:44:31,21.161234,52.22654
1413,183,6,2024-02-19 17:44:25,21.087051,52.244793
1414,183,4,2024-02-19 17:44:35,21.189501,52.245701
1415,147,2,2024-02-19 17:44:34,21.0952,52.218388
1416,173,5,2024-02-19 17:44:32,21.0701911,52.2503919
1417,319,05,2024-02-19 17:44:29,21.038824,52.141582
1418,730,52,2024-02-19 17:44:34,21.377897,52.199402
1419,119,2,2024-02-19 17:44:30,20.9991,52.206326
1420,147,1,2024-02-19 17:44:26,21.193207,52.207409
1421,142,06,2024-02-19 17:44:34,21.133392,52.209927
1422,702,215,2024-02-19 15:39:47,21.115339,52.234817
1424,117,4,2024-02-19 17:44:34,21.102516,52.222111
1425,720,62,2024-02-19 13:43:47,21.114135,52.233623
1426,183,07,2024-02-19 17:44:24,21.126514,52.234283
1427,146,2,2024-02-19 17:44:28,21.045298,52.237339
1428,153,2,2024-02-19 17:44:32,21.172604,52.285408
1429,119,1,2024-02-19 17:44:26,21.01502,52.211941
1430,117,3,2024-02-19 13:26:27,21.1157972,52.2332934
1500,166,09,2024-02-19 17:44:30,21.0449558,52.248443
1501,240,2,2024-02-19 17:44:29,21.0597875,52.3039311
1502,106,08,2024-02-19 17:44:29,21.0194326,52.2461785
1505,126,1,2024-02-19 17:44:28,20.9664021,52.3189211
1506,170,06,2024-02-19 17:44:27,21.083617,52.274933
1508,126,4,2024-02-19 17:44:31,21.0118448,52.3165658
1509,221,1,2024-02-19 17:44:32,20.9941635,52.2594736
1513,118,05,2024-02-19 17:44:26,21.024726,52.24201
1519,156,4,2024-02-19 17:44:32,21.0314321,52.2887025
1520,115,4,2024-02-19 17:44:23,21.224454,52.159088
1521,319,04,2024-02-19 16:36:43,21.117223,52.232973
1522,142,08,2024-02-19 17:44:21,21.138928,52.223284
1523,115,2,2024-02-19 17:44:16,21.161131,52.258798
1524,153,04,2024-02-19 14:41:01,21.116075,52.234285
1525,153,1,2024-02-19 17:44:26,21.1774683,52.2569167
1526,183,1,2024-02-19 17:44:33,21.1159667,52.239295
1527,119,4,2024-02-19 17:44:16,21.205506,52.210133
1528,147,5,2024-02-19 17:44:33,21.175815,52.20623
1529,702,2,2024-02-19 17:44:19,21.258961,52.101489
1530,173,4,2024-02-19 17:44:15,21.078959,52.250416
1532,319,03,2024-02-19 17:44:14,21.122934,52.15693
1533,319,07,2024-02-19 14:41:39,20.995149,52.188361
1534,251,61,2024-02-19 17:44:28,21.0597317,52.1716033
1535,218,4,2024-02-19 17:44:19,21.008993,52.178451
1536,169,1,2024-02-19 17:44:29,21.05191,52.2529183
1537,118,2,2024-02-19 17:44:14,21.025076,52.241533
1538,123,4,2024-02-19 17:44:20,21.0567417,52.2376167
1539,123,09,2024-02-19 17:44:20,21.101625,52.2414667
1540,303,3,2024-02-19 17:44:28,21.013471,52.275964
1541,123,07,2024-02-19 15:07:11,21.046739,52.265031
1542,181,2,2024-02-19 17:44:21,20.9000533,52.297215
1543,126,2,2024-02-19 17:44:28,21.00206,52.313028
1544,123,6,2024-02-19 17:44:19,21.095155,52.2437233
1545,123,1,2024-02-19 14:52:11,21.094181,52.228263
1546,197,3,2024-02-19 17:44:32,20.9448383,52.2647533
1548,123,08,2024-02-19 12:13:26,21.044086,52.264969
1549,122,8,2024-02-19 17:44:23,20.9831033,52.282395
1550,178,012,2024-02-19 17:44:28,20.9576533,52.2274317
1551,122,3,2024-02-19 17:44:33,20.9128783,52.2418667
1552,170,4,2024-02-19 17:44:27,21.0218633,52.262535
1553,166,343,2024-02-19 13:30:58,21.048179,52.264188
1554,169,3,2024-02-19 17:44:31,21.041085,52.2925167
1555,107,5,2024-02-19 17:44:33,21.057651,52.193053
1800,106,09,2024-02-19 17:44:29,20.9652411,52.235692
1801,221,02,2024-02-19 17:44:33,20.9826158,52.2631628
1802,170,1,2024-02-19 17:44:31,21.0745755,52.2684752
1803,197,010,2024-02-19 17:44:28,20.9513498,52.2816145
1804,166,5,2024-02-19 17:44:31,21.0652801,52.1379131
1805,204,07,2024-02-19 17:44:32,21.0505225,52.3179325
1806,117,06,2024-02-19 13:02:50,21.0464266,52.2640891
1807,156,1,2024-02-19 17:44:33,20.9307583,52.2916328
1808,173,6,2024-02-19 17:44:33,21.1260195,52.2348615
1809,303,2,2024-02-19 17:41:15,21.0456786,52.2644711
1810,166,4,2024-02-19 17:44:11,21.05583,52.1529095
1811,166,7,2024-02-19 17:44:30,21.0451351,52.1823701
1812,181,4,2024-02-19 17:44:32,20.9862851,52.269328
1813,118,3,2024-02-19 17:44:26,21.0236661,52.2238986
1814,338,01,2024-02-19 17:44:31,21.0382063,52.252408
1815,117,06,2024-02-19 17:44:32,21.0555848,52.23184
1816,123,2,2024-02-19 17:44:30,21.0844945,52.2508011
1817,181,3,2024-02-19 15:53:12,21.0482165,52.2640018
1818,240,1,2024-02-19 17:44:26,21.0988076,52.3185735
1819,166,8,2024-02-19 17:44:34,21.0346183,52.2556278
1830,117,2,2024-02-19 17:44:29,21.020384,52.2318165
1833,212,06,2024-02-19 17:44:31,21.0536736,52.2818245
1835,117,3,2024-02-19 17:44:34,21.0677975,52.225846
1838,146,3,2024-02-19 17:44:31,21.157165,52.1685061
1839,338,05,2024-02-19 17:44:27,21.0943881,52.2604103
1840,173,012,2024-02-19 17:44:18,21.2397443,52.2161081
1842,173,3,2024-02-19 17:44:30,21.1234776,52.2358168
1843,173,5,2024-02-19 06:45:42,21.1144846,52.2344258
1844,122,6,2024-02-19 17:44:28,20.9327748,52.2693338
1845,183,5,2024-02-19 17:44:32,21.087263,52.2447196
1846,736,2,2024-02-19 17:44:35,20.9537438,52.4015441
1848,147,3,2024-02-19 17:44:32,21.0523836,52.2502615
1849,119,5,2024-02-19 17:44:29,21.036773,52.2068643
1851,173,9,2024-02-19 17:44:28,21.2175348,52.2143663
1855,115,5,2024-02-19 17:44:32,21.2235765,52.1597805
1856,181,1,2024-02-19 17:44:32,20.9516398,52.2879728
1857,730,01,2024-02-19 17:44:34,21.1287098,52.233065
1858,173,7,2024-02-19 17:44:33,21.1707636,52.2428021
1859,722,01,2024-02-19 17:44:30,21.2557133,52.2167315
1862,183,3,2024-02-19 17:44:26,21.1917881,52.2387101
1863,722,61,2024-02-19 17:44:30,21.2607335,52.2051301
1869,173,012,2024-02-19 16:25:53,21.11785,52.233501
1901,222,6,2024-02-19 17:44:25,20.996081,52.193528
1903,E-1,04,2024-02-15 10:23:09,20.997366,52.185998
1904,222,5,2024-02-19 13:20:39,20.995738,52.186088
1905,900,1,2024-02-15 09:50:34,20.995118,52.185748
1906,222,3,2024-02-19 17:44:25,21.018218,52.236299
1907,106,3,2024-02-19 17:44:34,21.0178664,52.2372465
1908,251,066,2024-02-19 11:53:01,20.995098,52.186041
1909,222,2,2024-02-19 17:44:35,21.0219124,52.2302585
1910,222,4,2024-02-19 17:44:34,21.0161924,52.2232267
1911,222,5,2024-02-19 17:44:32,21.023609,52.202641
1912,166,010,2024-02-19 17:44:30,21.0265592,52.2137337
1914,139,63,2024-02-19 17:44:34,21.0240534,52.1794939
1915,251,066,2024-02-19 17:44:35,21.1231,52.089527
1916,739,07,2024-02-19 17:44:35,21.0180454,52.1365101
1917,106,5,2024-02-19 17:44:30,20.967209,52.245007
1918,739,013,2024-02-19 17:44:34,21.0182704,52.1128306
1919,222,1,2024-02-19 17:44:26,21.023893,52.197598
1920,222,4,2024-02-19 16:09:22,20.9952249,52.1860662
1990,119,07,2024-02-19 17:44:28,21.1573557,52.2139337
1991,331,05,2024-02-19 17:44:33,21.017756,52.156139
1992,331,02,2024-02-19 17:44:34,20.9953659,52.1864532
1993,331,01,2024-02-19 17:44:20,21.001511,52.156305
1994,739,014,2024-02-19 16:51:25,20.995285,52.18639
1996,331,03,2024-02-19 17:44:34,20.9952804,52.1863125
1997,331,04,2024-02-19 17:44:35,21.001802,52.188896
1998,119,07,2024-02-19 13:58:08,20.9954082,52.1862825
2000,148,7,2024-02-19 17:44:30,21.04693,52.177578
2001,189,8,2024-02-19 17:44:28,20.896753,52.238663
2002,504,013,2024-02-19 17:44:34,21.0357852,52.1507391
2004,710,4,2024-02-19 17:44:32,21.067053,52.129047
2005,217,07,2024-02-19 17:44:32,21.0612884,52.1711739
2006,319,03,2024-02-08 11:45:23,20.9967542,52.1857972
2007,217,3,2024-02-19 17:44:32,21.04768,52.151127
2008,504,2,2024-02-19 12:13:04,20.9970315,52.1864016
2009,739,09,2024-02-19 13:24:54,20.9970527,52.1863477
2010,162,013,2024-02-19 17:44:34,21.034468,52.225391
2012,739,012,2024-02-19 12:32:59,20.9979577,52.1859899
2013,522,013,2024-02-19 17:44:31,21.058638,52.178875
2014,522,3,2024-02-19 17:44:32,21.034586,52.201723
2016,519,4,2024-02-19 17:44:34,21.052668,52.184574
2017,401,022,2024-02-19 17:44:31,20.927891,52.196072
20174,L50,2,2024-02-19 17:44:35,21.3700153,52.182297
2018,709,7,2024-02-19 17:44:32,21.0242355,52.1799742
2019,166,012,2024-02-19 17:44:32,21.0684677,52.1312422
2020,308,01,2024-02-19 17:44:31,21.024649,52.189297
2021,501,1,2024-02-19 17:44:34,21.0488771,52.1777399
2022,189,9,2024-02-19 17:44:33,20.896776,52.235832
2023,189,5,2024-02-19 17:44:33,20.936163,52.194313
2024,709,012,2024-02-19 17:44:34,21.0179522,52.1289029
2025,504,6,2024-02-19 17:44:34,20.9893392,52.219502
2026,709,2,2024-02-19 17:44:34,21.023495,52.180088
2027,162,015,2024-02-19 17:44:32,21.036089,52.221088
2028,709,8,2024-02-19 17:44:34,21.0238522,52.1800254
2029,141,10,2024-02-19 17:44:34,21.044024,52.223183
2030,189,021,2024-02-19 17:44:32,21.043219,52.172909
2031,189,027,2024-02-19 17:44:33,21.054331,52.180672
2032,709,014,2024-02-19 17:44:23,21.02008,52.172931
2033,189,1,2024-02-19 17:44:31,21.064779,52.185738
2034,162,014,2024-02-19 17:44:35,21.0484871,52.2021429
2036,522,012,2024-02-19 17:44:33,21.06448,52.151863
2037,189,14,2024-02-19 17:44:32,21.04637,52.177509
2038,174,07,2024-02-19 17:44:28,21.0079392,52.2075299
2039,742,1,2024-02-19 17:44:35,21.1751974,52.0416465
2040,401,030,2024-02-19 17:44:31,20.884312,52.194279
2041,402,8,2024-02-19 17:44:35,20.993557,52.178963
2042,401,022,2024-02-15 16:41:16,20.996571,52.187561
2044,522,011,2024-02-19 17:44:30,21.051031,52.186153
2045,401,029,2024-02-19 17:44:29,20.896873,52.196007
2046,193,06,2024-02-19 17:44:32,21.045055,52.166771
2200,124,03,2024-02-19 17:44:35,20.9360045,52.1608462
2201,191,1,2024-02-19 17:44:35,20.870457,52.183426
2202,184,2,2024-02-19 17:44:31,20.920553,52.2579
2203,317,06,2024-02-19 17:44:34,21.002737,52.177902
2204,717,068,2024-02-15 14:07:32,20.922216,52.197108
2205,184,6,2024-02-19 17:44:26,20.920873,52.196505
2206,105,3,2024-02-19 17:44:33,20.984816,52.230293
2207,191,09,2024-02-19 12:09:40,20.9191735,52.1968304
2208,172,2,2024-02-19 17:44:33,21.024172,52.19886
2209,148,011,2024-02-19 17:44:31,20.979155,52.170025
2210,517,4,2024-02-19 17:44:34,20.911715,52.196999
2211,136,015,2024-02-19 17:28:17,20.922225,52.197124
2212,191,08,2024-02-19 17:44:35,20.908812,52.192966
2214,401,027,2024-02-19 17:44:31,20.986843,52.181229
2216,317,3,2024-02-19 17:44:27,21.069479,52.169495
2217,719,2,2024-02-19 17:44:31,20.628325,52.261879
2218,517,5,2024-02-19 17:44:34,20.877111,52.198147
2219,517,M10,2024-02-19 16:52:44,20.920716,52.196638
2220,184,7,2024-02-19 17:44:30,20.964033,52.208027
2221,172,5,2024-02-19 17:44:24,20.955901,52.212008
2222,517,011,2024-02-19 17:44:33,20.9090151,52.1933332
2223,105,013,2024-02-19 17:44:35,20.8962616,52.2389089
2224,401,026,2024-02-19 17:44:31,20.99864,52.178791
2225,187,5,2024-02-19 17:44:34,20.885281,52.194912
2226,401,7,2024-02-19 13:21:23,20.919966,52.197486
2227,191,09,2024-02-19 17:44:35,20.976358,52.211281
2228,401,7,2024-02-19 17:44:27,21.00396,52.177856
2229,716,01,2024-02-19 17:44:33,20.919443,52.220974
2230,523,714,2024-02-19 17:44:35,20.898283,52.258518
2231,105,770,2024-02-19 15:12:04,20.920124,52.196674
2232,717,66,2024-02-19 17:44:33,20.833303,52.193024
2233,523,017,2024-02-16 17:00:10,20.920546,52.196556
2234,105,09,2024-02-19 17:44:32,20.9415576,52.2261689
2235,136,4,2024-02-19 17:44:33,21.021162,52.158607
2236,171,453,2024-02-19 17:44:35,21.001165,52.244019
