VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 10:09:09,21.1611123,52.1851361
1001,219,3,2024-02-19 10:09:07,21.1565763,52.2139816
1002,213,1,2024-02-19 02:57:59,21.116943,52.234666
1003,219,2,2024-02-19 10:09:13,21.1024508,52.2226853
1004,213,3,2024-02-19 10:08:54,21.099364,52.216383
1005,213,4,2024-02-19 10:09:11,21.2340323,52.1785618
1006,119,3,2024-02-19 07:03:08,21.114108,52.234278
1007,213,1,2024-02-19 10:09:11,21.1651301,52.2042873
10071,L-8,1,2024-02-19 10:09:09,20.94132,52.4006578
10072,L31,1,2024-02-19 10:09:04,21.0953328,52.4376261
10073,L49,1,2024-02-19 10:09:10,20.9361171,52.376995
10074,L24,696,2024-02-19 10:09:09,21.0987996,52.0678855
10075,L-8,02,2024-02-19 10:09:12,21.0962411,52.4113293
1008,311,502,2024-02-19 10:09:14,21.0734038,52.2545705
1009,213,2,2024-02-19 10:09:12,21.102238,52.2228521
1010,311,501,2024-02-19 10:09:07,21.102521,52.222468
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 10:09:07,21.2121716,52.160845
1013,196,03,2024-02-19 09:50:04,21.115078,52.234633
1014,311,503,2024-02-19 10:09:09,21.0843708,52.239078
1020,339,01,2024-02-19 10:09:10,20.995699,52.186943
1021,192,1,2024-02-19 10:09:12,21.0586539,52.1399532
1022,107,3,2024-02-19 10:09:11,21.08342,52.191475
1023,208,06,2024-02-19 10:09:11,20.9741949,52.2050631
1024,192,5,2024-02-19 10:09:13,21.018358,52.153042
1025,107,9,2024-02-19 10:09:12,21.0184792,52.2266769
1026,263,06,2024-02-19 10:09:12,21.0873355,52.1597774
1027,339,02,2024-02-19 10:09:13,20.9970339,52.1869709
1028,208,04,2024-02-19 09:40:16,20.996412,52.186035
1029,163,01,2024-02-19 09:24:16,20.996223,52.186935
1030,107,7,2024-02-19 10:09:08,20.977983,52.243572
1031,208,05,2024-02-19 10:09:11,20.969023,52.202244
1032,164,05,2024-02-19 09:54:35,20.995199,52.188313
1033,163,03,2024-02-19 10:09:06,20.99733,52.186394
1034,192,2,2024-02-19 10:09:13,20.9970549,52.1859732
1035,108,399,2024-02-19 09:19:00,21.02605,52.178631
1036,192,06,2024-02-19 09:47:59,20.9951784,52.1882579
1037,208,03,2024-02-19 10:09:11,20.953995,52.213245
1038,164,04,2024-02-19 10:07:53,20.9979079,52.1864055
1039,200,1,2024-02-19 10:09:12,21.00308,52.229702
1040,204,04,2024-02-19 09:51:28,21.045258,52.264473
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,05,2024-02-19 09:26:59,21.045004,52.264573
1043,204,03,2024-02-19 08:59:30,21.04548,52.264454
1044,107,2,2024-02-19 10:09:03,21.085343,52.19333
1045,107,4,2024-02-19 10:08:58,21.0391317,52.2060717
1046,107,8,2024-02-19 10:09:04,20.9868883,52.2440033
1048,204,04,2024-02-19 08:29:52,21.047814,52.264215
1049,212,1,2024-02-19 08:52:19,21.046661,52.264023
1050,208,591,2024-02-19 10:09:06,20.97557,52.2102283
