VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 17:36:35,21.14073,52.19019
1001,219,3,2024-02-19 17:36:34,21.1689886,52.198629
1002,225,04,2024-02-19 17:36:36,21.1505565,52.2702496
1003,219,2,2024-02-19 17:36:43,21.102481,52.2228175
1004,213,3,2024-02-19 17:36:37,21.0929951,52.2193006
1005,213,4,2024-02-19 17:36:34,21.2138451,52.1616486
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 17:36:38,21.1441421,52.2141061
10071,L-8,1,2024-02-19 17:36:37,21.0069963,52.3927275
10072,L31,1,2024-02-19 17:36:38,21.0346708,52.4201808
10073,L49,1,2024-02-19 17:36:36,20.9370618,52.376762
10074,L24,696,2024-02-19 17:36:39,21.0202301,52.0659296
10075,L-8,02,2024-02-19 17:36:37,21.0568105,52.3955138
1008,311,502,2024-02-19 17:36:39,21.1023525,52.2224793
1009,213,2,2024-02-19 17:36:29,21.1020545,52.2227545
1010,225,501,2024-02-19 17:36:43,21.095486,52.230586
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 17:36:38,21.2212733,52.1623416
1013,196,03,2024-02-19 17:36:24,21.178155,52.259491
1014,225,503,2024-02-19 17:36:37,21.1288798,52.2358478
1020,339,02,2024-02-19 17:36:36,21.063086,52.170795
1021,192,1,2024-02-19 17:36:39,21.042448,52.148033
1022,107,3,2024-02-19 17:36:39,21.044878,52.221222
1023,809,777,2024-02-19 17:36:40,21.038002,52.1539354
1024,192,5,2024-02-19 17:36:37,21.056551,52.145702
1025,107,9,2024-02-19 17:36:38,20.986855,52.243965
1026,815,776,2024-02-19 17:36:40,21.0179192,52.1283609
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 17:36:40,21.0694789,52.1695655
1029,208,05,2024-02-19 17:36:32,20.952251,52.211811
1030,107,7,2024-02-19 17:36:35,21.047688,52.209545
1031,208,06,2024-02-19 17:36:40,20.968643,52.202343
1032,163,03,2024-02-19 17:36:38,21.097286,52.16135
1033,163,02,2024-02-19 17:36:31,21.091784,52.183582
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 17:27:19,21.024509,52.177578
1036,263,06,2024-02-19 17:36:32,21.09308,52.160786
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 17:36:40,20.9756157,52.2102094
1039,200,1,2024-02-19 17:36:36,21.084509,52.165581
1040,204,04,2024-02-19 17:36:39,21.068148,52.323798
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 17:36:20,21.062811,52.325143
1043,204,05,2024-02-19 17:36:35,21.0314333,52.2933533
1044,107,2,2024-02-19 17:36:33,21.0261367,52.2241017
1045,107,4,2024-02-19 17:36:27,21.0524283,52.1973117
1046,107,8,2024-02-19 17:36:27,21.0165883,52.230335
1048,204,04,2024-02-19 15:44:09,21.04836,52.2641255
1049,204,06,2024-02-19 17:36:24,21.028845,52.300566
1050,208,591,2024-02-19 17:36:38,20.9690583,52.2021717
1051,228,1,2024-02-19 17:36:31,20.925083,52.207418
1052,228,2,2024-02-19 17:36:38,20.979105,52.183565
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 17:36:20,20.945658,52.200521
1055,207,1,2024-02-19 17:36:38,20.883594,52.194308
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 16:56:44,20.921473,52.196635
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 17:36:32,20.9532216,52.20245
1060,192,3,2024-02-19 17:36:36,21.03755,52.145699
1061,192,2,2024-02-19 17:36:37,21.038176,52.153366
1062,263,4,2024-02-19 17:36:35,21.033888,52.148487
1063,107,1,2024-02-19 17:36:38,20.979416,52.244465
1064,192,06,2024-02-19 17:36:39,21.0176282,52.1530131
1065,108,5,2024-02-19 17:36:34,21.066456,52.212299
1066,108,3,2024-02-19 17:36:37,21.077406,52.200607
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:35:09,20.99666,52.187725
1069,107,6,2024-02-19 17:36:39,21.059,52.192879
1070,108,2,2024-02-19 17:36:38,21.058073,52.183182
1071,108,1,2024-02-19 17:36:37,21.023357,52.179829
1072,108,4,2024-02-19 17:36:34,21.023262,52.228481
1073,339,01,2024-02-19 17:36:40,21.068336,52.12933
1074,200,2,2024-02-19 17:36:36,21.028116,52.178276
