VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 10:57:54,21.102395,52.222713
1001,219,3,2024-02-19 10:57:55,21.1624793,52.2086153
1002,213,1,2024-02-19 02:57:59,21.116943,52.234666
1003,219,2,2024-02-19 10:57:59,21.1514505,52.1864098
1004,213,3,2024-02-19 10:57:40,21.098704,52.216681
1005,213,4,2024-02-19 10:57:56,21.1022246,52.222844
1006,119,3,2024-02-19 10:58:03,21.1137848,52.2345158
1007,213,1,2024-02-19 10:57:57,21.2035735,52.1594146
10071,L-8,1,2024-02-19 10:57:58,21.0758868,52.4136593
10072,L31,1,2024-02-19 10:57:56,21.0346175,52.4202996
10073,L49,1,2024-02-19 10:57:57,20.8882413,52.4063233
10074,L24,696,2024-02-19 10:57:58,21.0294271,52.0751883
10075,L-8,02,2024-02-19 10:58:00,20.9304695,52.3949831
1008,311,502,2024-02-19 10:58:01,21.0838163,52.2245658
1009,213,2,2024-02-19 10:57:58,21.2218033,52.1616923
1010,311,501,2024-02-19 10:57:54,21.073329,52.254539
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 10:58:02,21.1523805,52.2141201
1013,196,03,2024-02-19 09:50:04,21.115078,52.234633
1014,311,503,2024-02-19 10:57:58,21.0948253,52.229706
1020,339,01,2024-02-19 10:11:08,20.99515,52.188416
1021,192,1,2024-02-19 10:57:59,21.0414482,52.1552854
1022,107,3,2024-02-19 10:57:57,21.016947,52.22958
1023,208,06,2024-02-19 10:28:29,20.9951234,52.1884772
1024,192,5,2024-02-19 10:57:59,21.0748764,52.1336945
1025,107,9,2024-02-19 10:57:56,21.0023832,52.2429877
1026,263,06,2024-02-19 10:57:59,20.9970816,52.186079
1027,339,02,2024-02-19 10:19:34,20.9969746,52.1869872
1028,208,04,2024-02-19 09:40:16,20.996412,52.186035
1029,163,01,2024-02-19 09:24:16,20.996223,52.186935
1030,107,7,2024-02-19 10:57:56,21.039419,52.202374
1031,208,05,2024-02-19 10:57:59,20.9972994,52.1857907
1032,164,05,2024-02-19 09:54:35,20.995199,52.188313
1033,163,03,2024-02-19 10:57:51,20.996199,52.186474
1034,192,2,2024-02-19 10:57:54,20.9974827,52.1871689
1035,108,399,2024-02-19 09:19:00,21.02605,52.178631
1036,192,06,2024-02-19 09:47:59,20.9951784,52.1882579
1037,208,03,2024-02-19 10:57:56,20.995539,52.188065
1038,164,04,2024-02-19 10:07:53,20.9979079,52.1864055
1039,200,1,2024-02-19 10:57:56,21.113293,52.105358
1040,204,04,2024-02-19 09:51:28,21.045258,52.264473
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,05,2024-02-19 09:26:59,21.045004,52.264573
1043,204,03,2024-02-19 08:59:30,21.04548,52.264454
1044,107,2,2024-02-19 10:57:59,20.97781,52.244065
1045,107,4,2024-02-19 10:57:50,21.0471283,52.206955
1046,107,8,2024-02-19 10:57:56,21.023076,52.22415
1048,204,04,2024-02-19 08:29:52,21.047814,52.264215
1049,212,1,2024-02-19 08:52:19,21.046661,52.264023
1050,208,591,2024-02-19 10:57:53,20.954341,52.213149
1051,228,1,2024-02-19 10:57:45,20.963411,52.195783
1052,228,2,2024-02-19 10:57:53,20.925883,52.203553
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 10:57:39,20.892996,52.200351
1055,207,1,2024-02-19 10:57:53,20.880843,52.204345
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 06:12:41,20.9222283,52.1962317
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 10:57:48,20.9755683,52.2102733
1060,192,3,2024-02-19 10:58:00,21.043039,52.148174
1061,192,2,2024-02-19 10:58:00,21.024012,52.179966
1062,263,4,2024-02-19 10:58:00,21.0371024,52.1460637
1063,107,1,2024-02-19 10:57:58,20.979364,52.244553
1064,339,03,2024-02-19 10:57:45,20.995748,52.186938
1065,108,5,2024-02-19 10:57:58,21.026403,52.178616
1066,108,3,2024-02-19 10:57:57,21.025576,52.229988
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 10:57:58,20.9966786,52.1877469
1069,107,6,2024-02-19 10:57:57,21.0851385,52.1933129
1070,108,2,2024-02-19 10:57:59,21.022991,52.228558
1071,108,1,2024-02-19 10:57:58,21.082273,52.198498
1072,108,4,2024-02-19 10:57:56,21.086948,52.195744
1073,239,777,2024-02-19 10:08:49,20.9973991,52.1875382
1074,200,2,2024-02-19 10:57:59,21.013422,52.196629
1075,108,5,2024-02-19 05:21:38,20.9952115,52.1883152
1076,218,2,2024-02-19 10:26:52,20.99799,52.186405
1077,192,M3,2024-02-19 05:44:53,20.995195,52.18824
1078,192,4,2024-02-19 10:57:58,21.068586,52.129116
1079,108,3,2024-02-19 08:56:07,20.9970122,52.1878694
1101,170,3,2024-02-19 10:57:54,21.0938018,52.2709685
1102,118,1,2024-02-19 10:57:55,21.0219753,52.2444776
1106,170,2,2024-02-19 10:57:53,21.0429551,52.2541486
1109,303,1,2024-02-19 10:57:45,20.938006,52.291958
1110,123,3,2024-02-19 10:57:54,21.0456676,52.2482986
1112,117,06,2024-02-19 10:57:57,21.0015335,52.2440865
1115,338,02,2024-02-19 09:45:06,21.044893,52.264654
1117,126,3,2024-02-19 10:57:57,20.962496,52.317443
1118,197,010,2024-02-19 10:57:53,21.0447466,52.2646683
1119,169,5,2024-02-19 10:57:47,21.034656,52.257991
11201,L27,1,2024-02-19 10:57:29,21.1555883,52.3079323
11202,L27,2,2024-02-19 10:57:23,21.2145688,52.3401573
1200,166,6,2024-02-19 08:32:40,20.9970032,52.1878902
1201,263,5,2024-02-19 10:57:59,21.086491,52.15937
1202,739,07,2024-02-19 10:57:45,20.995813,52.186497
1203,166,661,2024-02-19 10:57:59,21.06054,52.1370289
1204,106,6,2024-02-19 10:57:57,20.969187,52.228844
1205,118,4,2024-02-19 10:57:59,21.019789,52.22361
1206,218,5,2024-02-19 10:57:58,21.0247064,52.1908215
1207,218,2,2024-02-19 10:57:58,21.0242147,52.1797936
1208,263,1,2024-02-19 10:57:58,21.081354,52.158195
1209,218,3,2024-02-19 10:58:00,21.0021099,52.1789246
1211,263,3,2024-02-19 10:57:59,21.0694932,52.1817235
1212,106,7,2024-02-19 10:57:57,21.016954,52.239651
1213,106,4,2024-02-19 10:58:00,20.9650974,52.2477034
1214,106,5,2024-02-19 10:08:08,20.995756,52.188423
1216,139,62,2024-02-19 10:57:59,21.1052119,52.1183834
1217,251,65,2024-02-19 10:57:58,21.0349562,52.1771172
1218,166,6,2024-02-19 10:57:59,21.027061,52.259995
