VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 14:58:09,21.160186,52.185341
1001,219,3,2024-02-19 14:58:16,21.1024678,52.222754
1002,225,04,2024-02-19 14:58:18,21.1022103,52.22286
1003,219,2,2024-02-19 14:58:20,21.1571741,52.2139508
1004,213,3,2024-02-19 14:58:20,21.1566441,52.2139658
1005,213,4,2024-02-19 14:58:18,21.2107281,52.160848
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 14:58:19,21.0963026,52.2179086
10071,L-8,1,2024-02-19 14:58:18,20.9304698,52.394836
10072,L31,1,2024-02-19 14:58:18,21.1812638,52.4173373
10073,L49,1,2024-02-19 14:58:19,20.8851296,52.4098513
10074,L24,696,2024-02-19 14:58:19,21.089696,52.0666048
10075,L-8,02,2024-02-19 14:58:22,21.0730115,52.4149211
1008,225,502,2024-02-19 14:58:21,21.1526293,52.271348
1009,213,2,2024-02-19 14:58:08,21.102691,52.222676
1010,225,501,2024-02-19 14:58:21,21.0935866,52.2273531
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 14:58:21,21.2241258,52.169239
1013,196,03,2024-02-19 14:58:19,21.1782053,52.2607395
1014,225,503,2024-02-19 14:58:19,21.1271578,52.25745
1020,339,02,2024-02-19 14:58:22,21.07461,52.16843
1021,192,1,2024-02-19 14:58:21,21.0689444,52.1285977
1022,107,3,2024-02-19 14:58:17,21.05969,52.192902
1023,239,777,2024-02-19 14:58:21,21.0149642,52.1527664
1024,192,5,2024-02-19 14:58:22,21.041117,52.147018
1025,107,9,2024-02-19 14:58:18,21.0016292,52.2439192
1026,809,776,2024-02-19 14:58:22,21.0379364,52.1540914
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 14:58:20,21.068249,52.129444
1029,208,05,2024-02-19 14:58:21,20.955845,52.202122
1030,107,7,2024-02-19 14:58:22,21.002234,52.243145
1031,208,06,2024-02-19 14:58:22,20.975992,52.211159
1032,163,03,2024-02-19 14:58:20,21.107624,52.172668
1033,163,02,2024-02-19 14:58:22,21.049202,52.17836
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 09:19:00,21.02605,52.178631
1036,263,06,2024-02-19 14:58:22,21.033838,52.148556
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 14:58:22,20.9836222,52.1974257
1039,200,1,2024-02-19 14:58:19,21.010096,52.203732
1040,204,04,2024-02-19 14:58:20,21.0458183,52.3176583
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 14:58:10,21.032961,52.296421
1043,204,05,2024-02-19 14:58:22,21.0314067,52.2934967
1044,107,2,2024-02-19 14:58:20,21.0466183,52.20683
1045,107,4,2024-02-19 14:58:17,21.0627383,52.19247
1046,107,8,2024-02-19 14:58:20,20.9793533,52.24449
1048,204,04,2024-02-19 14:54:51,21.0482856,52.2641346
1049,204,06,2024-02-19 14:58:12,21.079509,52.323079
1050,208,591,2024-02-19 14:58:15,20.9731517,52.2069633
1051,228,1,2024-02-19 14:58:19,20.928661,52.202959
1052,228,2,2024-02-19 14:58:18,20.893173,52.20042
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 14:57:52,20.966008,52.198963
1055,207,1,2024-02-19 14:58:08,20.893339,52.200431
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 10:59:50,20.9222283,52.1962317
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 14:58:20,20.9756,52.21026
1060,192,3,2024-02-19 14:58:18,21.02438,52.17989
1061,192,2,2024-02-19 14:58:22,21.04458,52.149403
1062,263,4,2024-02-19 14:58:22,21.1052699,52.161398
1063,107,1,2024-02-19 14:58:21,21.016994,52.229691
1064,192,06,2024-02-19 14:58:19,21.070465,52.13829
1065,108,5,2024-02-19 14:58:21,21.027143,52.178448
1066,108,3,2024-02-19 14:58:20,21.034325,52.225677
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:35:09,20.99666,52.187725
1069,107,6,2024-02-19 14:58:20,21.0200765,52.2238557
1070,108,2,2024-02-19 14:58:20,21.03071,52.230068
1071,108,1,2024-02-19 14:58:22,21.076345,52.201862
1072,108,4,2024-02-19 14:58:21,21.067375,52.183369
1073,339,01,2024-02-19 14:58:18,21.08412,52.165318
1074,200,2,2024-02-19 14:58:19,21.086681,52.159756
1075,163,01,2024-02-19 14:58:19,21.09861,52.185162
1076,164,05,2024-02-19 14:58:19,21.044479,52.175015
1077,192,M3,2024-02-19 14:58:22,20.9970227,52.1877935
1078,192,4,2024-02-19 14:58:20,21.023661,52.18
1079,208,04,2024-02-19 14:58:20,20.95923,52.216076
1101,170,3,2024-02-19 14:58:12,21.083408,52.272118
1102,118,1,2024-02-19 14:58:19,21.0202265,52.2469968
1106,170,2,2024-02-19 14:58:20,21.080329,52.2775513
1109,303,1,2024-02-19 14:58:18,20.944497,52.2948158
1110,123,3,2024-02-19 14:48:22,21.0483225,52.2642326
1112,338,03,2024-02-19 14:58:21,21.0950621,52.260386
1115,170,05,2024-02-19 14:58:19,21.0218498,52.262514
1117,126,3,2024-02-19 14:58:26,20.9632213,52.3175773
1118,338,04,2024-02-19 14:58:18,21.0885205,52.2614076
1119,169,5,2024-02-19 14:58:21,21.041583,52.296078
11201,L27,1,2024-02-19 14:57:31,21.1576258,52.306095
11202,L27,2,2024-02-19 14:57:28,21.2110236,52.3419
1200,319,01,2024-02-19 14:58:19,21.143845,52.161385
1201,263,5,2024-02-19 14:58:21,21.088638,52.159924
1202,739,07,2024-02-19 12:09:09,20.997442,52.187305
1203,166,661,2024-02-19 14:58:18,21.035225,52.25399
1204,106,6,2024-02-19 14:58:22,20.967812,52.243557
1205,118,4,2024-02-19 14:58:21,21.023981,52.224125
1206,218,5,2024-02-19 14:58:21,21.0203627,52.1896082
1207,218,2,2024-02-19 14:58:21,21.0022985,52.1830367
1208,263,1,2024-02-19 14:58:21,21.0490011,52.1783102
1209,218,3,2024-02-19 14:58:22,21.02425,52.179775
1211,263,3,2024-02-19 14:58:22,21.0418304,52.1474397
1212,106,7,2024-02-19 14:58:22,20.9650582,52.2404997
1213,106,4,2024-02-19 14:58:19,21.027908,52.238159
1214,106,5,2024-02-19 10:08:08,20.995756,52.188423
1216,251,62,2024-02-19 14:58:22,21.1223672,52.0904619
1217,251,65,2024-02-19 14:58:21,21.042931,52.175385
1218,166,6,2024-02-19 14:58:21,21.06576,52.126472
1219,106,1,2024-02-19 14:58:22,20.988892,52.234375
1220,106,2,2024-02-19 14:58:19,21.015562,52.240723
1221,139,64,2024-02-19 14:58:22,21.102787,52.124184
1222,263,2,2024-02-19 14:58:15,21.0844569,52.1835254
1223,218,1,2024-02-19 14:58:21,21.023851,52.189957
1224,319,08,2024-02-19 08:15:50,20.997934,52.186249
1400,123,3,2024-02-19 14:58:21,21.0512743,52.2526445
1401,178,012,2024-02-19 14:58:18,21.0448216,52.2650646
1411,319,02,2024-02-19 14:55:38,21.115343,52.23474
1412,115,6,2024-02-19 14:58:18,21.186647,52.186756
1413,183,6,2024-02-19 14:58:21,21.08713,52.244682
1414,183,4,2024-02-19 14:58:22,21.158356,52.255424
1415,147,2,2024-02-19 14:58:21,21.063057,52.228519
1416,173,5,2024-02-19 14:58:21,21.136103,52.241394
1417,319,05,2024-02-19 14:58:21,20.9963679,52.1877824
1418,730,52,2024-02-19 14:58:22,21.346983,52.190216
1419,119,2,2024-02-19 14:58:21,21.052143,52.198383
