VehicleNumber,Lines,Brigade,Time,Lon,Lat
1000,219,1,2024-02-19 17:43:38,21.18778,52.183963
1001,219,3,2024-02-19 17:43:44,21.150509,52.21405
1002,225,04,2024-02-19 17:43:49,21.1510251,52.2707996
1003,219,2,2024-02-19 17:43:53,21.0912218,52.2223115
1004,213,3,2024-02-19 17:43:30,21.101485,52.223291
1005,213,4,2024-02-19 17:43:44,21.228889,52.1733593
1006,119,3,2024-02-19 13:51:22,21.114394,52.23485
1007,213,1,2024-02-19 17:43:50,21.17063,52.1958381
10071,L-8,1,2024-02-19 17:43:48,21.0355616,52.3975636
10072,L31,1,2024-02-19 17:43:48,21.0535876,52.4415738
10073,L49,1,2024-02-19 17:43:49,20.9157763,52.3785121
10074,L24,696,2024-02-19 17:43:49,21.0558185,52.0552225
10075,L-8,02,2024-02-19 17:43:47,21.0399941,52.3784783
1008,311,502,2024-02-19 17:43:50,21.1023583,52.2224846
1009,213,2,2024-02-19 17:43:49,21.1019411,52.222723
1010,225,501,2024-02-19 17:43:49,21.1250875,52.2324438
1011,213,2,2024-02-14 18:50:46,21.114953,52.234814
1012,213,5,2024-02-19 17:43:48,21.2126643,52.1611896
1013,196,03,2024-02-19 17:43:49,21.1589328,52.2575638
1014,225,503,2024-02-19 17:41:40,21.1182705,52.23433
1020,339,02,2024-02-19 17:43:47,21.085163,52.161743
1021,192,1,2024-02-19 17:43:51,21.044279,52.1419534
1022,107,3,2024-02-19 17:43:50,21.020893,52.223671
1023,809,777,2024-02-19 17:43:51,21.0368282,52.1541987
1024,192,5,2024-02-19 17:43:50,21.0649514,52.1377732
1025,107,9,2024-02-19 17:43:51,21.0021587,52.2431514
1026,815,776,2024-02-19 17:43:49,20.987112,52.129547
1027,339,02,2024-02-19 11:29:18,20.9979427,52.1863401
1028,339,03,2024-02-19 17:43:46,21.038532,52.176594
1029,208,05,2024-02-19 17:43:47,20.975925,52.210957
1030,107,7,2024-02-19 17:43:49,21.041809,52.202152
1031,208,06,2024-02-19 17:43:47,20.94832,52.209171
1032,163,03,2024-02-19 17:43:48,21.084589,52.168198
1033,163,02,2024-02-19 17:43:50,21.067045,52.183907
1034,192,2,2024-02-19 13:09:19,20.997934,52.186306
1035,108,399,2024-02-19 17:27:19,21.024509,52.177578
1036,263,06,2024-02-19 17:43:32,21.088048,52.159758
1037,208,04,2024-02-19 14:27:48,20.995644,52.188469
1038,208,03,2024-02-19 17:43:51,20.9625475,52.2012904
1039,200,1,2024-02-19 17:43:46,21.068771,52.169647
1040,204,04,2024-02-19 17:43:40,21.079605,52.322586
1041,107,2,2024-02-15 07:45:40,21.046568,52.263918
1042,204,03,2024-02-19 17:43:40,21.079193,52.324049
1043,204,05,2024-02-19 17:43:42,21.0299617,52.3040283
1044,107,2,2024-02-19 17:43:36,21.016716,52.230408
1045,107,4,2024-02-19 17:43:50,21.039475,52.2021717
1046,107,8,2024-02-19 17:43:34,21.028225,52.224235
1048,204,04,2024-02-19 15:44:09,21.04836,52.2641255
1049,204,06,2024-02-19 17:43:44,21.031421,52.293456
1050,208,591,2024-02-19 17:42:08,20.9690583,52.2021717
1051,228,1,2024-02-19 17:43:31,20.928883,52.214348
1052,228,2,2024-02-19 17:43:35,20.9729233,52.1933933
1053,191,591,2024-02-19 07:16:58,20.921379,52.196853
1054,228,3,2024-02-19 17:43:41,20.973095,52.193319
1055,207,1,2024-02-19 17:43:39,20.895765,52.18574
1056,207,4,2024-02-13 08:52:19,20.918528,52.196728
1057,208,591,2024-02-19 16:56:44,20.921473,52.196635
1058,207,3,2024-02-13 07:31:20,20.919635,52.1969033
1059,208,2,2024-02-19 17:43:48,20.9518816,52.2115583
1060,192,3,2024-02-19 17:43:50,21.040997,52.155212
1061,192,2,2024-02-19 17:43:46,21.019341,52.171024
1062,263,4,2024-02-19 17:43:46,21.0386162,52.1462507
1063,107,1,2024-02-19 17:43:46,20.979414,52.244495
1064,192,06,2024-02-19 17:43:48,21.038578,52.153404
1065,108,5,2024-02-19 17:43:47,21.038071,52.216957
1066,108,3,2024-02-19 17:43:49,21.073603,52.180248
1067,209,776,2024-02-19 10:49:23,20.995516,52.188202
1068,163,02,2024-02-19 11:35:09,20.99666,52.187725
1069,107,6,2024-02-19 17:43:50,21.0850979,52.1933404
1070,108,2,2024-02-19 17:43:48,21.056711,52.182262
1071,108,1,2024-02-19 17:43:45,21.041517,52.175762
1072,108,4,2024-02-19 17:43:50,21.036478,52.220051
1073,339,01,2024-02-19 17:43:44,21.068331,52.129337
1074,200,2,2024-02-19 17:43:40,21.048916,52.173996
1075,163,01,2024-02-19 17:43:51,21.053032,52.179836
1076,164,05,2024-02-19 17:43:46,21.138199,52.145775
1077,164,04,2024-02-19 17:43:50,21.08392,52.167675
1078,192,4,2024-02-19 17:43:48,21.068514,52.129227
1079,208,04,2024-02-19 17:43:46,20.968771,52.202042
1101,170,3,2024-02-19 17:43:45,21.0370946,52.2524101
1102,118,1,2024-02-19 17:43:44,21.016159,52.2232168
1106,170,2,2024-02-19 17:43:43,21.0808196,52.277484
1109,303,1,2024-02-19 17:43:49,20.9656328,52.2661258
1110,123,3,2024-02-19 16:38:04,21.0483463,52.2642493
1112,338,03,2024-02-19 17:43:38,21.0547373,52.2619786
1115,170,05,2024-02-19 17:43:50,21.0362755,52.253062
1117,126,3,2024-02-19 17:43:46,21.021634,52.2865453
1118,338,04,2024-02-19 17:43:31,21.0916638,52.2605683
1119,169,5,2024-02-19 17:43:30,21.041508,52.270564
11201,L27,1,2024-02-19 17:43:33,21.1835261,52.359112
11202,L27,2,2024-02-19 17:43:31,21.1514741,52.3107704
1200,319,01,2024-02-19 17:43:48,21.183315,52.206825
1201,263,5,2024-02-19 17:43:46,21.058777,52.148708
1202,119,06,2024-02-19 17:43:48,21.047096,52.19603
1203,166,661,2024-02-19 17:43:48,21.048037,52.245804
1204,106,6,2024-02-19 17:43:49,20.969584,52.231331
1205,118,4,2024-02-19 17:43:46,21.015566,52.219246
1206,218,5,2024-02-19 17:43:50,20.988703,52.184853
1207,218,2,2024-02-19 17:43:50,21.000759,52.183372
1208,263,1,2024-02-19 17:43:49,21.051916,52.150211
